time_s;speed_kmh;soc_%;P_bar
0.000000;0.000000;100.000000;150.000000
0.100000;0.379747;99.999951;149.998750
0.200000;0.759494;99.999853;149.997500
0.300000;1.139241;99.999705;149.996250
0.400000;1.518987;99.999509;149.995000
0.500000;1.898734;99.999264;149.993750
0.600000;2.278481;99.998969;149.992500
0.700000;2.658228;99.998626;149.991250
0.800000;3.037975;99.998233;149.990000
0.900000;3.417722;99.997791;149.988750
1.000000;3.797468;99.997300;149.987500
1.100000;4.177215;99.996760;149.986251
1.200000;4.556962;99.996170;149.985001
1.300000;4.936709;99.995532;149.983751
1.400000;5.316456;99.994844;149.982501
1.500000;5.696203;99.994107;149.981251
1.600000;6.075949;99.993321;149.980001
1.700000;6.455696;99.992486;149.978751
1.800000;6.835443;99.991601;149.977502
1.900000;7.215190;99.990667;149.976252
2.000000;7.594937;99.989684;149.975002
2.100000;7.974684;99.988666;149.973752
2.200000;8.354430;99.987618;149.972502
2.300000;8.734177;99.986541;149.971253
2.400000;9.113924;99.985436;149.970003
2.500000;9.493671;99.984288;149.968753
2.600000;9.873418;99.983093;149.967503
2.700000;10.253165;99.981853;149.966254
2.800000;10.632911;99.980566;149.965004
2.900000;11.012658;99.979238;149.963754
3.000000;11.392405;99.977870;149.962505
3.100000;11.772152;99.976462;149.961255
3.200000;12.151899;99.975016;149.960005
3.300000;12.531646;99.973530;149.958755
3.400000;12.911392;99.972007;149.957506
3.500000;13.291139;99.970445;149.956256
3.600000;13.670886;99.968846;149.955007
3.700000;14.050633;99.967209;149.953757
3.800000;14.430380;99.965535;149.952507
3.900000;14.810127;99.963824;149.951258
4.000000;15.189873;99.962076;149.950008
4.100000;15.569620;99.960293;149.948759
4.200000;15.949367;99.958473;149.947509
4.300000;16.329114;99.956617;149.946259
4.400000;16.708861;99.954726;149.945010
4.500000;17.088608;99.952800;149.943760
4.600000;17.468354;99.950839;149.942511
4.700000;17.848101;99.948843;149.941261
4.800000;18.227848;99.946813;149.940012
4.900000;18.607595;99.945471;149.915811
5.000000;18.987342;99.944108;149.891134
5.100000;19.367089;99.942722;149.865980
5.200000;19.746835;99.941314;149.840349
5.300000;20.126582;99.939885;149.814216
5.400000;20.506329;99.938435;149.787531
5.500000;20.886076;99.936963;149.760291
5.600000;21.265823;99.935470;149.732492
5.700000;21.645570;99.933956;149.704130
5.800000;22.025316;99.932421;149.675202
5.900000;22.405063;99.930865;149.645703
6.000000;22.784810;99.929289;149.615629
6.100000;23.164557;99.927692;149.584977
6.200000;23.544304;99.926075;149.553742
6.300000;23.924051;99.924438;149.521920
6.400000;24.303797;99.922781;149.489507
6.500000;24.683544;99.921103;149.456499
6.600000;25.063291;99.919406;149.422892
6.700000;25.443038;99.917689;149.388681
6.800000;25.822785;99.915953;149.353862
6.900000;26.202532;99.914197;149.318431
7.000000;26.582278;99.912422;149.282383
7.100000;26.962025;99.910645;149.245714
7.200000;27.341772;99.908843;149.208419
7.300000;27.721519;99.907014;149.170494
7.400000;28.101266;99.905160;149.131933
7.500000;28.481013;99.903281;149.092733
7.600000;28.860759;99.901375;149.052888
7.700000;29.240506;99.899443;149.012393
7.800000;29.620253;99.897486;148.971245
7.900000;30.000000;99.895502;148.929437
8.000000;30.000000;99.895019;148.928228
8.100000;30.000000;99.894535;148.927020
8.200000;30.000000;99.894051;148.925811
8.300000;30.000000;99.893567;148.924602
8.400000;30.000000;99.893083;148.923393
8.500000;30.000000;99.892599;148.922184
8.600000;30.000000;99.892116;148.920975
8.700000;30.000000;99.891632;148.919767
8.800000;30.000000;99.891148;148.918558
8.900000;30.000000;99.890664;148.917349
9.000000;30.000000;99.890180;148.916140
9.100000;30.000000;99.889697;148.914931
9.200000;30.000000;99.889213;148.913722
9.300000;30.000000;99.888729;148.912514
9.400000;30.000000;99.888245;148.911305
9.500000;30.000000;99.887761;148.910096
9.600000;30.000000;99.887278;148.908887
9.700000;30.000000;99.886794;148.907678
9.800000;30.000000;99.886310;148.906470
9.900000;30.000000;99.885826;148.905261
10.000000;30.000000;99.885342;148.904052
10.100000;30.000000;99.884859;148.902843
10.200000;30.000000;99.884375;148.901635
10.300000;30.000000;99.883891;148.900426
10.400000;30.000000;99.883407;148.899217
10.500000;30.000000;99.882923;148.898008
10.600000;30.000000;99.882440;148.896799
10.700000;30.000000;99.881956;148.895591
10.800000;30.000000;99.881472;148.894382
10.900000;30.000000;99.880988;148.893173
11.000000;30.000000;99.880504;148.891964
11.100000;30.000000;99.880020;148.890756
11.200000;30.000000;99.879537;148.889547
11.300000;30.000000;99.879053;148.888338
11.400000;30.000000;99.878569;148.887129
11.500000;30.000000;99.878085;148.885921
11.600000;30.000000;99.877601;148.884712
11.700000;30.000000;99.877118;148.883503
11.800000;30.000000;99.876634;148.882295
11.900000;30.000000;99.876150;148.881086
12.000000;30.000000;99.875666;148.879877
12.100000;30.000000;99.875182;148.878668
12.200000;30.000000;99.874699;148.877460
12.300000;30.000000;99.874215;148.876251
12.400000;30.000000;99.873731;148.875042
12.500000;30.000000;99.873247;148.873834
12.600000;30.000000;99.872763;148.872625
12.700000;30.000000;99.872280;148.871416
12.800000;30.000000;99.871796;148.870208
12.900000;30.000000;99.871312;148.868999
13.000000;30.000000;99.870828;148.867790
13.100000;30.000000;99.870344;148.866582
13.200000;30.000000;99.869861;148.865373
13.300000;30.000000;99.869377;148.864164
13.400000;30.000000;99.868893;148.862956
13.500000;30.000000;99.868409;148.861747
13.600000;30.000000;99.867925;148.860538
13.700000;30.000000;99.867441;148.859330
13.800000;30.000000;99.866958;148.858121
13.900000;30.000000;99.866474;148.856912
14.000000;30.000000;99.865990;148.855704
14.100000;30.000000;99.865506;148.854495
14.200000;30.000000;99.865022;148.853286
14.300000;30.000000;99.864539;148.852078
14.400000;30.000000;99.864055;148.850869
14.500000;30.000000;99.863571;148.849660
14.600000;30.000000;99.863087;148.848452
14.700000;30.000000;99.862603;148.847243
14.800000;30.000000;99.862120;148.846035
14.900000;30.000000;99.861636;148.844826
15.000000;30.000000;99.861152;148.843617
15.100000;30.000000;99.860668;148.842409
15.200000;30.000000;99.860184;148.841200
15.300000;30.000000;99.859701;148.839992
15.400000;30.000000;99.859217;148.838783
